name,province,contact,map,lat,lon,tel
Board Game Academy,กรุงเทพมหานคร,https://www.facebook.com/boardgameacademy,https://goo.gl/maps/4TieyswF3g8koJVJ8,13.7313944,100.4941725,0959255260
BoardVille Board Game Cafe,กรุงเทพมหานคร,https://www.facebook.com/BoardVille,https://goo.gl/maps/uFdNktSWtfHwFYvK7,13.7791515,100.4766154,0850193260
BOARDY BOARD GAMES CAFE,กรุงเทพมหานคร,https://www.facebook.com/profile.php?id=100088962233984&mibextid=ZbWKwL,https://maps.app.goo.gl/aZXyESN6VHXvmE8K7,13.822939,100.5157007,0927952945
Box & Brew board game ,กรุงเทพมหานคร,https://www.facebook.com/boxandbrew40,https://goo.gl/maps/ngPpq6PJYH6d4eoU6,13.8451839,100.5791269,0811731590
CoonCoon Boardgame Cafe and Music Studio,กรุงเทพมหานคร,https://www.facebook.com/cooncoonboardgame,"https://www.google.com/maps/place/%E0%B8%9A%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B8%84%E0%B8%B9%E0%B8%99%E0%B8%84%E0%B8%B9%E0%B8%99+%E0%B8%9A%E0%B8%AD%E0%B8%A3%E0%B9%8C%E0%B8%94%E0%B9%80%E0%B8%81%E0%B8%A1%E0%B9%81%E0%B8%A5%E0%B8%B0%E0%B8%AA%E0%B8%AD%E0%B8%99%E0%B8%94%E0%B8%99%E0%B8%95%E0%B8%A3%E0%B8%B5/@13.9310681,100.5635141,17z/data=!4m10!1m2!2m1!1sCoonCoon+Boardgame+Cafe+and+Music+Studio!3m6!1s0x30e283bca0bdfb6d:0x114fbf892cf7767d!8m2!3d13.9310681!4d100.5682777!15sCihDb29uQ29vbiBCb2FyZGdhbWUgQ2FmZSBhbmQgTXVzaWMgU3R1ZGlvkgEPYm9hcmRfZ2FtZV9jbHVi4AEA!16s%2Fg%2F11fps43bg1?hl=th-TH&entry=ttu",13.9310681,100.5635141,0886984034
Dice Cup Board Game Cafe,กรุงเทพมหานคร,https://www.facebook.com/dicecupboardgamecafe/,"https://www.google.com/maps/place/Dice+Cup+Board+Game+Cafe'/@13.7427734,100.5220709,17z/data=!3m1!4b1!4m6!3m5!1s0x30e2992c2ee06cbf:0x3a94c9e58ebe5f35!8m2!3d13.7427682!4d100.5246512!16s%2Fg%2F11bwfjxqh2?hl=th-TH&entry=ttu",13.7427682,100.5246512,0945696223
Fun House Board Game Cafe,กรุงเทพมหานคร,https://www.facebook.com/FUNHOUSEBOARDGAMECAFE,https://goo.gl/maps/qjmscYRZY8MmfJ36A,13.7822832,100.3618797,0657284779
Games Together,กรุงเทพมหานคร,https://www.facebook.com/GamesTogether.co.th/,https://maps.app.goo.gl/EKTZKBJoCj1LTiVj6?g_st=ic,13.7853819,100.6133088,0896638782
In The Battle Board Game Cafe,กรุงเทพมหานคร,https://www.facebook.com/inthebattleboardgame/,https://goo.gl/maps/zQppisfYPyLu83nz8,13.7756591,100.5851373,0637593133
GameHaus Boardgame Cafe,กรุงเทพมหานคร,https://www.facebook.com/GameHausboardgame/?locale=th_TH,"https://www.google.com/maps/place/GameHaus+Boardgame+Cafe/@13.7396827,100.5892076,20z/data=!4m12!1m5!3m4!2zMTPCsDQ0JzIyLjciTiAxMDDCsDM1JzIxLjIiRQ!8m2!3d13.7396389!4d100.5892222!3m5!1s0x30e29ee7e7de2713:0xf0f4b6f7c42cdff1!8m2!3d13.739768!4d100.5892472!16s%2Fg%2F1q5hrkhts?hl=th&entry=ttu",13.7396827,100.5892076,0639642619
Landmark BoardGame Cafe,กรุงเทพมหานคร,https://www.facebook.com/Landmarkboardgame/,"https://www.google.com/maps/place/Landmark+Boardgame+Cafe%E2%80%99+Market+Place+Dusit/@13.7538967,100.4607254,13z/data=!4m10!1m2!2m1!1sLandmark+BoardGame+Cafe!3m6!1s0x30e2991379fedb77:0x1f018fe264fe932c!8m2!3d13.778733!4d100.5082556!15sChdMYW5kbWFyayBCb2FyZEdhbWUgQ2FmZZIBD2JvYXJkX2dhbWVfY2x1YuABAA!16s%2Fg%2F11j8h1dpk8?hl=th&entry=ttu",13.7538967,100.4607254,0851811615
Lanlalen Voyage,กรุงเทพมหานคร,https://www.facebook.com/lanlalenvoyage/,https://goo.gl/maps/3xDpGU38ep4dPTRv9,13.7148459,100.5396654,0979641565
Mute Mute Cafe,กรุงเทพมหานคร,https://www.facebook.com/BoardGameatMuteMutecafe/,https://maps.app.goo.gl/aKGPyz5dyQfvFvft6,13.7268309,100.5078973,0656128980
NK Board Game Seacon Bangkae - เอ็นเคบอร์ดเกม ซีคอน บางแค,กรุงเทพมหานคร,https://www.facebook.com/nkboardgame,https://goo.gl/maps/XekZZVX8RRWb9y616,13.7126134,100.4342343,0654123939
Pig Gra Dan บอร์ดเกมคาเฟ่,กรุงเทพมหานคร,https://www.facebook.com/people/Pig-Gra-Dan-บอร์ดเกมคาเฟ่/100078438035793/,https://goo.gl/maps/s1GKHuo6Km3Qzu8E9,13.6497992,100.4983525,0824902249
Quest Boardgame Cafe,กรุงเทพมหานคร,https://www.facebook.com/QuestBoardgame/,"https://www.google.com/maps/place/%E0%B8%A3%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B8%9A%E0%B8%AD%E0%B8%A3%E0%B9%8C%E0%B8%94%E0%B9%80%E0%B8%81%E0%B8%A1+MBK+%E0%B8%8A%E0%B8%B1%E0%B9%89%E0%B8%99+7+%E0%B8%95%E0%B8%B4%E0%B8%94+BTS+%E0%B8%AA%E0%B8%99%E0%B8%B2%E0%B8%A1%E0%B8%81%E0%B8%B5%E0%B8%AC%E0%B8%B2%E0%B8%AF/@13.7432778,100.5270057,17z/data=!3m1!4b1!4m6!3m5!1s0x30e29fc4d95df861:0xca037c23600919cf!8m2!3d13.7432726!4d100.529586!16s%2Fg%2F11hzpmn5c4?entry=ttu",13.7432778,100.5270057,0819875596
SIT AND PLAY,กรุงเทพมหานคร,https://www.facebook.com/sitandplay.game,"https://www.google.com/maps/place/SIT+and+PLAY/@13.6878979,100.666427,17z/data=!3m1!4b1!4m6!3m5!1s0x311d5fef6fb03027:0x672379e0431d5db9!8m2!3d13.6878927!4d100.6690073!16s%2Fg%2F11c603911_?entry=ttu",13.6878979,100.666427,0617861661
The Stronghold,กรุงเทพมหานคร,https://www.facebook.com/Strongholdbg/,"https://www.google.com/maps/place/%E0%B8%A3%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B8%9A%E0%B8%AD%E0%B8%A3%E0%B9%8C%E0%B8%94%E0%B9%80%E0%B8%81%E0%B8%A1+%E0%B9%80%E0%B8%94%E0%B8%AD%E0%B8%B0+%E0%B8%AA%E0%B8%95%E0%B8%A3%E0%B8%AD%E0%B8%87%E0%B9%82%E0%B8%AE%E0%B8%A5%E0%B8%94%E0%B9%8C+%E0%B8%AA%E0%B8%A2%E0%B8%B2%E0%B8%A1+%E0%B8%AA%E0%B9%81%E0%B8%84%E0%B8%A7%E0%B8%A3%E0%B9%8C/@13.7441435,100.5307839,17z/data=!3m1!4b1!4m6!3m5!1s0x30e29ed2868b5c6d:0x6ff893db5ca9d585!8m2!3d13.7441383!4d100.5333642!16s%2Fg%2F11c5bmx86_?entry=ttu",13.7441435,100.5307839,0610183228
TID Board Game Cafe,กรุงเทพมหานคร,https://www.facebook.com/profile.php?id=100076570874891&mibextid=LQQJ4d,https://maps.app.goo.gl/YjFgzsYSkwZfeFgj9?g_st=ic,13.9214201,100.6707805,0863635270
Undercut Games,กรุงเทพมหานคร,https://www.facebook.com/undercutgames,"https://www.google.com/maps/place/Undercut+Games/@13.7801869,100.5410491,17z/data=!3m1!4b1!4m6!3m5!1s0x30e29c1d81ce93f1:0x32b1fe7bb644b961!8m2!3d13.7801817!4d100.5436294!16s%2Fg%2F1ptwq9nhw?hl=th-TH&entry=ttu",13.7801869,100.5410491,0836036041
